word,candidate_edges
purple,138
earthquake,137
alarm,137
swimming,137
couch,137
north,137
agency,136
balloon,136
dig,136
harvest,136
pasta,136
operate,136
rat,136
hobby,136
hall,136
beautiful,136
lot,135
snail,135
bench,135
save,135
promise,134
publish,134
whole,134
guest,134
tent,134
stuff,133
south,133
pride,133
mood,133
perfume,133
ten,133
confuse,133
pleasant,133
sudden,132
octopus,132
beard,132
near,132
spell,132
harmful,132
fresh,132
sister,131
dictionary,131
prize,131
explain,131
disturb,131
learn,131
lady,131
need,131
enter,131
birthday,131
garlic,131
agree,131
training,130
fridge,130
helicopter,130
last,130
request,130
lemon,130
dinner,130
pack,130
moment,130
swim,130
dentist,130
schedule,129
chart,129
buy,129
still,129
commitment,129
curse,128
easy,128
to,128
walking,128
special,128
envelope,128
example,128
award,127
phone,127
personality,127
in,127
add,127
impact,127
strange,127
shine,127
sweat,127
cage,127
pie,127
kite,127
fortune,127
ask,127
daughter,127
eight,127
freeze,126
say,126
annoying,126
hope,126
logical,126
topic,126
confused,126
establish,126
curry,126
wide,126
statue,125
reflect,125
again,125
cinema,125
self,125
salad,125
wait,125
whale,125
banana,125
sad,125
joy,125
tape,124
brake,124
grammar,124
morning,124
oppose,124
sock,124
flea,124
chance,124
prince,124
century,124
sit,124
glue,124
certain,123
evening,123
painter,123
monster,123
rude,123
same,123
hero,123
come,123
helmet,122
pizza,122
classroom,122
boring,122
after,122
happen,121
just,121
predict,121
all,121
horror,121
ugly,121
significant,121
anyone,121
bounce,121
post office,121
necessary,120
tell,120
visit,120
raw,120
board game,120
chemist,120
elephant,120
policeman,120
fancy,120
fog,120
explanation,119
pond,119
underwater,119
jam,119
grocery store,119
freedom,119
wallet,118
garbage,118
worry,118
ham,118
inch,118
on,118
feel,118
ice cream,118
clerk,117
manager,117
tall,117
happiness,117
manage,117
know,117
describe,117
swimming pool,117
something,117
engineer,116
strict,116
spy,116
exist,116
bake,116
basketball,116
believe,116
permission,116
careful,115
early,115
own,115
nervous,115
reveal,115
unusual,114
zoo,114
survey,114
pacific,114
violin,114
breathe,114
printer,114
tick,113
unknown,113
inspiration,113
begin,113
possible,113
seven,113
hunter,113
complaint,113
credit card,113
mad,113
album,113
nothing,112
stadium,112
marry,112
smart,112
west,112
east,112
succeed,112
remain,112
encourage,112
sunlight,112
stripe,112
advice,111
vacation,111
rock music,111
you,111
lazy,111
tight,111
before,111
alive,111
indicate,111
geography,111
alien,111
angel,111
umbrella,111
achieve,110
closed,110
guy,110
gentle,110
inside,109
hundred,109
coconut,109
brilliant,109
admit,109
best,109
cheek,109
any,108
wisdom,108
adjust,108
allow,108
hurt,108
debate,108
stove,108
better,108
youth,108
background,108
introduce,108
gallery,107
chef,107
healthy,107
find,107
married,107
teach,107
cricket,107
international,107
become,106
tourist,106
concert,106
expensive,106
dancer,106
advertising,106
pretend,106
toast,106
smoking,106
tv,106
cough,106
third,105
now,105
uncertain,105
tiger,105
put,105
improve,105
discover,105
behind,105
independence,104
liberty,104
eagle,104
cushion,104
dolphin,104
roast,103
impress,103
wander,103
circus,103
celebrate,103
familiar,103
mobile,103
sofa,103
between,102
tidy,102
nurse,102
mobile phone,102
nice,102
or,102
precise,102
jelly,101
skip,101
listen,101
richard,101
emergency,101
wise,101
tradition,101
useful,100
funny,100
secretary,100
photography,100
excited,100
hate,100
director,100
pea,100
sailing,100
bulb,100
hear,99
kid,99
educational,99
no,99
penguin,99
bury,99
discuss,99
miss,99
tune,99
spend,99
summary,98
journalist,98
contrast,98
successful,98
more,98
car park,97
chin,97
pop,97
ready,97
barbecue,97
seek,97
gym,97
fairy,97
off,96
send,96
remember,96
sew,96
click,96
elbow,96
stranger,95
lane,95
splash,95
costume,95
energetic,95
heating,95
clever,95
skiing,95
pancake,95
sick,95
